Subject,Predicate,Object
has increased levels of,seealso,1380
desert biome,in_subset,wwfbiome
concentration of neoxanthin in liquid water,subclassof,concentration of
algal bloom process,in_subset,envopolar
muskmelon (cucumis melo) fruit food product,subclassof,melon fruit food product
helium atom,subclassof,noble gas atom
maar,subclassof,crater
contributes to,example of usage,"atp citrate lyase (acl) in arabidopsis: it is a heterooctamer, composed of two types of subunits, acla and aclb in a a(4)b(4) stoichiometry. neither of the subunits expressed alone give acl activity, but co-expression results in acl activity. both subunits contribute_to the atp citrate lyase activity."
detritus,subclassof,organic material
sludge,subclassof,anthropogenic environmental material
plant based bakery food product,subclassof,multi-component plant food product
buffer zone,subclassof,administrative region
application,subclassof,role
apple condiment,subclassof,condiment food product
skeletal system,disjointwith,entire sense organ system
fence,subclassof,constructed barrier
manufactured product,subclassof,material entity
biotic carbon sequestration,in_subset,envonceas
desublimation of water vapour into ice,in_subset,envopolar
soil drainage,subclassof,drainage process
sea ice hummock,subclassof,elevated landform
feed storage space,subclassof,agricultural ecosystem
sabkha,subclassof,alkaline flat
quality,subclassof,specifically dependent continuant
salt glacier,subclassof,surface landform
brine rejection from seawater,subclassof,hydrological process
hydrocarbon gas,subclassof,hydrocarbon-based environmental material
heart,subclassof,structure with developmental contribution from neural crest
plant fruit food product,subclassof,vegetable food product
tropical woodland biome,subclassof,tropical woodland ecosystem
scalar_slim,subpropertyof,subset_property
planktonic kerogen,subclassof,kerogen
shoot axis,in_subset,traitnet
hydrodynamic escape,subclassof,atmospheric escape
coal dust,subclassof,dust
(1->4)-beta-d-glucan,subclassof,beta-d-glucan
cardiopharyngeal field,subclassof,embryonic structure
pingo,subclassof,surface landform
respiratory system,disjointwith,immune system
ammonium,subclassof,onium cation
amount of nitrogen atom in soil,subclassof,amount of nitrogen atom in environmental material
plateau glacier,in_subset,envopolar
freshwater biome,in_subset,nmdc water broad scale value set
dense irregular connective tissue,subclassof,irregular connective tissue
concentration of carbon dioxide in soil,subclassof,concentration of organic molecular entity in soil
"1,4-dioxane",subclassof,dioxane
pumice,subclassof,rock
glacial ice ablation process,subclassof,glacial ice loss
understory,in_subset,nmdc plantassociated local scale value set
environment associated with an aquatic invertebrate,subclassof,environment associated with an animal part or small animal
methane-releasing thermokarst lake,subclassof,thermokarst lake
arete,in_subset,envocryo
plinthosol,in_subset,nmdc soil environmental medium value set
healthcare facility,subclassof,facility
circular,subclassof,elliptic
subtropical dry broadleaf forest biome,in_subset,nmdc soil broad scale value set
rubber plantation soil,in_subset,nmdc soil environmental medium value set
closure incomplete,subclassof,open
saliva material,subclassof,bodily fluid material
conveyor system,subclassof,system
estuarine coastal pycnocline,subclassof,aquatic estuarine layer
develops in,subpropertyof,developmentally preceded by
poultry manure,subclassof,animal manure
momentum transfer process,subclassof,energy transfer process
protoplanet,in_subset,envoastro
formation of a liquid aerosol in an atmosphere,subclassof,atmospheric aerosol formation
moonmoon,subclassof,astronomical body
traumatic intensive care unit facility,subclassof,intensive care unit facility
vadose cave,subclassof,cave
envomeo,subpropertyof,subset_property
carbonic acid,subclassof,chalcocarbonic acid
anlage,subclassof,tissue
active layer in a cryosphere,subclassof,cryospheric layer
mass wasting flow,subclassof,mass wasting
tropical dry broadleaf forest biome,in_subset,nmdc plantassociated broad scale value set
mangrove biome,in_subset,nmdc soil broad scale value set
hypolimnion,subclassof,lake layer
biogenous sediment,subclassof,sediment
dacitic volcano,subclassof,volcano
bovine dairy liquid manure,subclassof,animal manure
adiabatic process,subclassof,environmental system process
bilateral,subclassof,position
cupressus,subclassof,cupressaceae
anaerobic sludge blanket reactor,subclassof,anaerobic bioreactor
lens vesicle,subclassof,ectoderm-derived structure
reproductive system,subclassof,anatomical system
fruit or vegetable product (us cfr),subclassof,"u.s. code of federal regulations, title 21 food product type"
organic amino compound,subclassof,organonitrogen compound
thermokarst,subclassof,planetary landmass
skeletal element of eye region,subclassof,skeletal element
hair ice,in_subset,envopolar
gypsisol,in_subset,nmdc soil environmental medium value set
endorheic basin,subclassof,drainage basin
nicotinamide dinucleotide,subclassof,dinucleotide
sedimentary intrusion,subclassof,rock intrusion
friable-frozen soil,in_subset,nmdc soil environmental medium value set
ephemeral spring,subclassof,spring
hailstorm,in_subset,envopolar
intertidal sediment,subclassof,sediment
dioxanes,subclassof,oxacycle
poly-beta-hydroxybutyrate enriched soil,subclassof,enriched soil
bromine atom,subclassof,halogen
marine snow,subclassof,detritus
polar stratospheric cloud,subclassof,water-based cloud
role of,inverseof,has role
hygienic food production area,subclassof,environmental system
telencephalon,subclassof,regional part of brain
erect,subclassof,position
neoxanthin,subclassof,epoxycarotenol
zinc group molecular entity,subclassof,d-block molecular entity
nitrogen hydride,subclassof,pnictogen hydride
mangrove swamp,in_subset,nmdc water local scale value set
"ec 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor",subclassof,"ec 1.14.* (oxidoreductase acting on paired donors, with incorporation or reduction of molecular oxygen) inhibitor"
orchard,subclassof,plantation
tailings pond,subclassof,human construction
tombolo,subclassof,bar
erebidae,subclassof,noctuoidea
liquid planetary core,subclassof,liquid layer
lopolith,subclassof,rock intrusion
silage,subclassof,agricultural environmental material
nucleation of cloud condensation,subclassof,hydrological process
gaseous surface layer,subclassof,fluid surface layer
flood fringe,subclassof,field
blastula,subclassof,embryo
reproductive organ,subclassof,organ
future brain,subclassof,presumptive structure
pharyngeal arch 1,subclassof,pharyngeal arch
ocean planet,subclassof,planet
bore hole water,in_subset,nmdc water environmental medium value set
carboxylic acid,subclassof,carbonyl compound
ecological community,in_subset,envopolar
vetch seed,subclassof,vetch food product
neural tube,subclassof,embryonic tissue
methylbenzene,subclassof,alkylbenzene
fish hatchery,subclassof,hatchery
fermentation pit,subclassof,pit
saline water environment,in_subset,envopolar
valley,in_subset,nmdc plantassociated local scale value set
pelagic isothermal surface,subclassof,hydroform
snow crystal,subclassof,water ice crystal
ecological corridor,subclassof,ecosystem
synovial fluid,subclassof,transudate
f-block element atom,subclassof,transition element atom
decreased volume,subclassof,volume
decreased concentration,subclassof,decreased object quality
concentration of cobalt in water ice,subclassof,concentration of
animal aquaculture process,subclassof,aquaculture process
bile,subclassof,secretion of exocrine gland
subdivision of trunk,subclassof,organism subdivision
lymphatic vessel,subclassof,vessel
embryonic cloaca,subclassof,cloaca
benzopyrrole,subclassof,polycyclic heteroarene
obsolete plastic production compound,consider,chebi:53243
organic polycyclic compound,subclassof,organic cyclic compound
increased frequency,subclassof,increased rate of occurrence
aquatic ecosystem,subclassof,astronomical body part
ammonia ice,in_subset,envoastro
brown sugar,subclassof,sugar condiment
swine food product,subclassof,mammalian meat food product
cow milk based food product,subclassof,cattle dairy food product
estuarine water,subclassof,astronomical body part
tea based beverage product,subclassof,nonfermented plant derived beverage product
cucurbit fruit food product,subclassof,plant fruit food product
volcano,in_subset,nmdc water local scale value set
flexible,subclassof,flexibility
acetate ester,subclassof,carboxylic ester
cutin,subclassof,portion of plant substance
hours of sunshine,subclassof,one-dimensional temporal region
alkali metal molecular entity,subclassof,s-block molecular entity
reproductive structure,subclassof,multicellular anatomical structure
small river biome,in_subset,nmdc plantassociated broad scale value set
transudate,subclassof,bodily fluid
oxoacid derivative,subclassof,heteroatomic molecular entity
fresh animal manure,subclassof,animal manure
technosol,in_subset,nmdc soil environmental medium value set
thermokarst formation process,subclassof,hydrological process
acrisol,in_subset,nmdc soil environmental medium value set
oronasal secretion,subclassof,organism substance
silicon coordination entity,subclassof,main-group coordination entity
violent environment,subclassof,environmental system determined by a quality
alluvial plain,in_subset,nmdc plantassociated local scale value set
fluoride,subclassof,monoatomic fluorine
opaque,subclassof,opacity
inorganic nitrate salt,subclassof,inorganic salt
"aerobic respiration, using sulfur or sulfate as electron donor",in_subset,envopolar
ecozone,in_subset,envopolar
caldera,subclassof,crater
airport concourse,subclassof,industrial building
monocyclic hydrocarbon,subclassof,cyclic hydrocarbon
neural tissue,disjointwith,skeletal tissue
ocean planet,in_subset,envoastro
perennial snow patch,in_subset,envopolar
dimictic lake,disjointwith,monomictic lake
water tap,subclassof,manufactured product
biotically interacts with,subpropertyof,interacts with
hailfall,in_subset,envopolar
bacon food product,subclassof,processed pork meat food product
fault cave,subclassof,cave
